ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2022
1,Scope 1,Fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e,3033.32
1,Scope 1,Fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e of CO2,3029.26
1,Scope 1,Fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e of CH4,2.25
1,Scope 1,Fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e of N2O,1.8
1,Scope 1,Fuels,Gaseous fuels,Butane,,,litres,kg CO2e,1.74529
1,Scope 1,Fuels,Gaseous fuels,Butane,,,litres,kg CO2e of CO2,1.74296
1,Scope 1,Fuels,Gaseous fuels,Butane,,,litres,kg CO2e of CH4,0.00129
1,Scope 1,Fuels,Gaseous fuels,Butane,,,litres,kg CO2e of N2O,0.00104
1,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Net CV),kg CO2e,0.24106
1,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Net CV),kg CO2e of CO2,0.24074
1,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Net CV),kg CO2e of CH4,0.00018
1,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Net CV),kg CO2e of N2O,0.00014
1,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Gross CV),kg CO2e,0.2224
1,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Gross CV),kg CO2e of CO2,0.2221
1,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Gross CV),kg CO2e of CH4,0.00017
1,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Gross CV),kg CO2e of N2O,0.00013
1,Scope 1,Fuels,Gaseous fuels,CNG,,,tonnes,kg CO2e,2539.25
1,Scope 1,Fuels,Gaseous fuels,CNG,,,tonnes,kg CO2e of CO2,2534.47
1,Scope 1,Fuels,Gaseous fuels,CNG,,,tonnes,kg CO2e of CH4,3.44
1,Scope 1,Fuels,Gaseous fuels,CNG,,,tonnes,kg CO2e of N2O,1.34
1,Scope 1,Fuels,Gaseous fuels,CNG,,,litres,kg CO2e,0.44436
1,Scope 1,Fuels,Gaseous fuels,CNG,,,litres,kg CO2e of CO2,0.44353
1,Scope 1,Fuels,Gaseous fuels,CNG,,,litres,kg CO2e of CH4,0.0006
1,Scope 1,Fuels,Gaseous fuels,CNG,,,litres,kg CO2e of N2O,0.00023
1,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Net CV),kg CO2e,0.20227
1,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Net CV),kg CO2e of CO2,0.20188
1,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Net CV),kg CO2e of CH4,0.00028
